,Title,Release Year,Genre,Imdb Rating,Runtime,Age Rating,Country origin,Url,Streaming Provider,Type
0,Laapataa Ladies,2024,"Comedy, Drama",8.5,2h 2min,UA,India,https://www.justwatch.com/in/movie/laapataa-ladies,Netflix,Movie
1,Aavesham,2024,"Action & Adventure, Comedy",8.0,2h 38min,NA,India,https://www.justwatch.com/in/movie/aavesham-2024,Amazon Prime Video,Movie
2,Manjummel Boys,2024,"Mystery & Thriller, Drama",8.4,2h 15min,UA,India,https://www.justwatch.com/in/movie/manjummel-boys,Hotstar,Movie
6,Madgaon Express,2024,"Comedy, Drama",7.2,2h 23min,UA,India,https://www.justwatch.com/in/movie/madgaon-express,Amazon Prime Video,Movie
9,Dune: Part Two,2024,"Science-Fiction, Action & Adventure, Drama",8.6,2h 47min,NA,United States,https://www.justwatch.com/in/movie/premalu,Apple TV,Movie
10,Premalu,2024,"Comedy, Romance",7.9,2h 36min,U,India,https://www.justwatch.com/in/movie/dune-part-two,Hotstar,Movie
12,Article 370,2024,"Mystery & Thriller, Action & Adventure, Drama",7.9,2h 38min,NA,India,https://www.justwatch.com/in/movie/article-370,Netflix,Movie
13,Oppenheimer,2023,"Drama, History",8.3,3h 0min,UA,"United Kingdom, United States",https://www.justwatch.com/in/movie/oppenheimer,Apple TV,Movie
15,Hanu-Man,2024,"Science-Fiction, Fantasy, Action & Adventure, Comedy",7.9,2h 39min,UA,India,https://www.justwatch.com/in/movie/hanu-man,Hotstar,Movie
17,Godzilla Minus One,2023,"Horror, Action & Adventure, Science-Fiction, Drama",7.9,2h 5min,NA,Japan,https://www.justwatch.com/in/movie/the-idea-of-you,NA,Movie
27,12th Fail,2023,Drama,8.9,2h 27min,NA,India,https://www.justwatch.com/in/movie/the-beekeeper-2024,Hotstar,Movie
28,The Fall Guy,2024,"Action & Adventure, Comedy, Drama",7.1,2h 6min,UA,"Canada, United States, Australia",https://www.justwatch.com/in/movie/12th-fail,Bookmyshow,Movie
33,777 Charlie,2022,"Comedy, Drama, Action & Adventure",8.7,2h 46min,UA,India,https://www.justwatch.com/in/movie/madame-web,Amazon Prime Video,Movie
34,Maidaan,2022,"History, Sport, Drama",8.3,3h 1min,NA,India,https://www.justwatch.com/in/movie/the-raid,Bookmyshow,Movie
36,Anatomy of a Fall,2023,"Crime, Mystery & Thriller, Drama",7.7,2h 31min,NA,France,https://www.justwatch.com/in/movie/swatantra-veer-savarkar,Amazon Prime Video,Movie
38,Challengers,2024,"Drama, Romance, Sport",7.5,2h 12min,A,"United States, Italy",https://www.justwatch.com/in/movie/crakk-jeetegaa-toh-jiyegaa,NA,Movie
39,Swatantra Veer Savarkar,2024,"Drama, History",7.7,2h 56min,NA,India,https://www.justwatch.com/in/movie/365-days,NA,Movie
40,Amar Singh Chamkila,2024,"Drama, Music & Musical, Romance",7.9,2h 25min,NA,India,https://www.justwatch.com/in/movie/challengers,Netflix,Movie
44,Sam Bahadur,2023,"Drama, War & Military, History",7.7,2h 30min,NA,India,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone,Zee5,Movie
45,DJ Tillu,2022,"Romance, Action & Adventure, Comedy, Crime",7.2,2h 1min,NA,India,https://www.justwatch.com/in/movie/sam-bahadur,Sony Liv,Movie
46,Bramayugam,2024,"Horror, Mystery & Thriller",7.9,2h 19min,UA,India,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes,Sony Liv,Movie
47,Kingdom of the Planet of the Apes,2024,"Science-Fiction, Action & Adventure",7.2,2h 25min,NA,United States,https://www.justwatch.com/in/movie/aadujeevitham,Bookmyshow,Movie
49,The Goat Life,2024,Drama,8.6,2h 52min,NA,"United States, India",https://www.justwatch.com/in/movie/dj-tillu,NA,Movie
50,Exhuma,2024,"Mystery & Thriller, Horror",7.0,2h 14min,NA,South Korea,https://www.justwatch.com/in/movie/exhuma,NA,Movie
51,Siddharth Roy,2024,"Drama, Romance",8.1,2h 28min,A,India,https://www.justwatch.com/in/movie/siddharth-roy,aha,Movie
52,Poor Things,2023,"Science-Fiction, Romance, Comedy, Drama",7.9,2h 22min,A,"United Kingdom, United States, Ireland",https://www.justwatch.com/in/movie/aranmanai-4,Apple TV,Movie
59,8 A.M. Metro,2023,Drama,7.4,NA,NA,India,https://www.justwatch.com/in/movie/migration,NA,Movie
60,Late Night with the Devil,2024,Horror,7.1,1h 33min,NA,"United States, Australia, United Arab Emirates",https://www.justwatch.com/in/movie/war-for-the-planet-of-the-apes,NA,Movie
69,Veppam Kulir Mazhai,2024,Mystery & Thriller,8.2,2h 12min,NA,India,https://www.justwatch.com/in/movie/veppam-kulir-mazhai,NA,Movie
73,K.G.F: Chapter 2,2022,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.3,2h 46min,NA,India,https://www.justwatch.com/in/movie/hridayam,Amazon Prime Video,Movie
76,Wonka,2023,"Comedy, Kids & Family, Fantasy",7.0,1h 57min,NA,"United Kingdom, United States",https://www.justwatch.com/in/movie/the-kerala-story,NA,Movie
77,Hridayam,2022,"Drama, Romance",8.1,2h 52min,NA,NA,https://www.justwatch.com/in/movie/geethanjali-malli-vachindi,NA,Movie
81,Civil War,2024,"Mystery & Thriller, Action & Adventure, Drama, War & Military",7.4,1h 49min,NA,"United Kingdom, United States",https://www.justwatch.com/in/movie/the-intern,NA,Movie
83,Rathnam,2024,"Action & Adventure, Romance",7.3,2h 39min,NA,India,https://www.justwatch.com/in/movie/kaagaz-2,NA,Movie
88,Idi Minnal Kadhal,2024,"Drama, Action & Adventure",9.5,2h 11min,NA,NA,https://www.justwatch.com/in/movie/dada-2023,NA,Movie
