,Title,Release Year,Genre,Imdb Rating,Runtime,Age Rating,Country origin,Url,Streaming Provider,Type
0,Laapataa Ladies,2024,"Comedy, Drama",8.5,2h 2min,UA,India,https://www.justwatch.com/in/movie/laapataa-ladies,Netflix,Movie
1,Aavesham,2024,"Action & Adventure, Comedy",8.0,2h 38min,NA,India,https://www.justwatch.com/in/movie/aavesham-2024,Amazon Prime Video,Movie
2,Manjummel Boys,2024,"Mystery & Thriller, Drama",8.4,2h 15min,UA,India,https://www.justwatch.com/in/movie/manjummel-boys,Hotstar,Movie
3,Family Star,2024,"Action & Adventure, Drama, Romance, Comedy",5.1,2h 39min,NA,India,https://www.justwatch.com/in/movie/the-crew-2024,Amazon Prime Video,Movie
4,Crew,2024,"Drama, Comedy",6.1,1h 58min,UA,India,https://www.justwatch.com/in/movie/family-star,Netflix,Movie
5,Shaitaan,2024,"Horror, Mystery & Thriller, Drama",6.7,2h 12min,UA,India,https://www.justwatch.com/in/movie/black-magic-2024,Netflix,Movie
6,Madgaon Express,2024,"Comedy, Drama",7.2,2h 23min,UA,India,https://www.justwatch.com/in/movie/madgaon-express,Amazon Prime Video,Movie
7,Godzilla x Kong: The New Empire,2024,"Action & Adventure, Fantasy, Science-Fiction, Mystery & Thriller",6.2,1h 55min,UA,"United States, Australia",https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire,Apple TV,Movie
8,Yodha,2024,"Action & Adventure, Mystery & Thriller, Drama",5.7,2h 10min,UA,"United States, India",https://www.justwatch.com/in/movie/yodha-2022,Amazon Prime Video,Movie
9,Dune: Part Two,2024,"Science-Fiction, Action & Adventure, Drama",8.6,2h 47min,NA,United States,https://www.justwatch.com/in/movie/premalu,Apple TV,Movie
10,Premalu,2024,"Comedy, Romance",7.9,2h 36min,U,India,https://www.justwatch.com/in/movie/dune-part-two,Hotstar,Movie
11,Kung Fu Panda 4,2024,"Kids & Family, Fantasy, Animation, Action & Adventure, Comedy",6.3,1h 34min,NA,United States,https://www.justwatch.com/in/movie/kung-fu-panda-4,Apple TV,Movie
12,Article 370,2024,"Mystery & Thriller, Action & Adventure, Drama",7.9,2h 38min,NA,India,https://www.justwatch.com/in/movie/article-370,Netflix,Movie
13,Oppenheimer,2023,"Drama, History",8.3,3h 0min,UA,"United Kingdom, United States",https://www.justwatch.com/in/movie/oppenheimer,Apple TV,Movie
14,Hereditary,2018,"Horror, Mystery & Thriller, Drama",7.3,2h 7min,A,United States,https://www.justwatch.com/in/movie/hereditary,Amazon Prime Video,Movie
15,Hanu-Man,2024,"Science-Fiction, Fantasy, Action & Adventure, Comedy",7.9,2h 39min,UA,India,https://www.justwatch.com/in/movie/hanu-man,Hotstar,Movie
16,Teri Baaton Mein Aisa Uljha Jiya,2024,"Drama, Romance, Science-Fiction, Comedy",6.3,2h 21min,NA,India,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film,Amazon Prime Video,Movie
17,Godzilla Minus One,2023,"Horror, Action & Adventure, Science-Fiction, Drama",7.9,2h 5min,NA,Japan,https://www.justwatch.com/in/movie/the-idea-of-you,NA,Movie
18,The Idea of You,2024,"Comedy, Drama, Romance",6.4,1h 45min,NA,United States,https://www.justwatch.com/in/movie/godzilla-minus-one,Amazon Prime Video,Movie
19,Zara Hatke Zara Bachke,2023,"Drama, Romance, Comedy, Kids & Family",6.2,2h 20min,UA,India,https://www.justwatch.com/in/movie/mad-max-fury-road,Jio Cinema,Movie
20,Anyone But You,2023,"Romance, Comedy",6.1,1h 44min,A,United States,https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke,Apple TV,Movie
21,Tillu Square,2024,"Drama, Romance, Comedy, Crime, Mystery & Thriller",6.7,2h 17min,NA,India,https://www.justwatch.com/in/movie/anyone-but-you,Netflix,Movie
22,Monkey Man,2024,"Action & Adventure, Mystery & Thriller",,2h 1min,NA,"Canada, Singapore, United States",https://www.justwatch.com/in/movie/monkey-man,NA,Movie
23,Mad Max: Fury Road,2015,"Action & Adventure, Science-Fiction, Mystery & Thriller",8.1,2h 0min,A,"United States, Australia",https://www.justwatch.com/in/movie/dune-2021,Amazon Prime Video,Movie
24,Dune,2021,"Science-Fiction, Drama, Action & Adventure",8.0,2h 35min,UA,United States,https://www.justwatch.com/in/movie/salaar,Apple TV,Movie
25,The Beekeeper,2024,"Mystery & Thriller, Action & Adventure",6.4,1h 45min,NA,"United Kingdom, United States",https://www.justwatch.com/in/movie/the-fall-guy,Lionsgate Play,Movie
26,Salaar,2023,"Mystery & Thriller, Action & Adventure, Crime, Drama",6.5,2h 55min,A,India,https://www.justwatch.com/in/movie/tillu-square,Netflix,Movie
27,12th Fail,2023,Drama,8.9,2h 27min,NA,India,https://www.justwatch.com/in/movie/the-beekeeper-2024,Hotstar,Movie
28,The Fall Guy,2024,"Action & Adventure, Comedy, Drama",7.1,2h 6min,UA,"Canada, United States, Australia",https://www.justwatch.com/in/movie/12th-fail,Bookmyshow,Movie
29,Animal,2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",6.2,3h 21min,A,India,https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom,Netflix,Movie
30,Aquaman and the Lost Kingdom,2023,"Action & Adventure, Fantasy, Science-Fiction",5.6,2h 4min,NA,United States,https://www.justwatch.com/in/movie/rise-of-the-planet-of-the-apes,Apple TV,Movie
31,Rise of the Planet of the Apes,2011,"Mystery & Thriller, Drama, Action & Adventure, Science-Fiction",7.6,1h 44min,NA,"United Kingdom, United States",https://www.justwatch.com/in/movie/maidaan,Apple TV,Movie
